t(s),Total retention volume 8,Total retention volume 7,Total retention volume 6,Total solute volume 8,Total solute volume 7,Total solute volume 6
718.9048368510321,4.235126581050369e+16,-22845662.626687136,-107726.78342066429,1.482496822065099e+16,-22845122.36526887,-106897.92385128111
791.7953205361354,4.456106166423839e+16,-22641757.16497117,-469022.6461890216,1.515492796554783e+16,-22641213.36483482,-465300.017619631
871.9748525897489,4.6898327577426e+16,35515342.788236685,-770883.6799744589,1.5482780618749272e+16,35514524.04454744,-764550.0843270649
960.1723378487239,4.9372015653524296e+16,208214254.33024943,815222.7446128437,1.580833528551744e+16,208209347.84412128,809433.8245826336
1057.1895716335964,5.199177378110615e+16,473421307.47840595,8639927.39243888,1.6131419263035408e+16,473410060.5131193,8571822.037039045
1163.9085287969563,5.476800044507826e+16,506882813.54598475,25670565.8378346,1.6451878077541806e+16,506870597.507372,25462770.71483135
1281.299381676652,5.771190379566467e+16,-664542643.7302842,32399836.856797185,1.6769575295948664e+16,-664527347.7584336,32124326.005827345
1410.4293198443174,6.083556509318265e+16,-4885979555.764391,-69045009.65314513,1.7084392135275256e+16,-4885864116.511804,-68530606.7936573
1552.4722518287492,6.415200613226743e+16,-14202419381.95233,-542121001.8714564,1.7396226894662384e+16,-14202081578.08642,-537787691.4764162
1708.7194770116243,6.767525926141247e+16,-27606781606.139206,-1822748141.6408079,1.77049942342852e+16,-27606121375.70637,-1807843333.0672626
1880.5914247127869,7.142043702459897e+16,-32211389240.361366,-4022279771.951615,1.8010624322936412e+16,-32210611605.114555,-3988672698.113903
2069.6505671840655,7.540379623348424e+16,15711527245.573767,-4805677955.606944,1.8313061871388556e+16,15711173342.09336,-4763676365.422355
2277.615623902472,7.964278856781389e+16,225811154588.80008,6788790706.113517,1.861226506220858e+16,225805789983.29254,6738315062.892513
2506.3771862927197,8.415608693597104e+16,831608264492.981,65172317118.155075,1.8908204379159428e+16,831588387419.1378,64637323049.86908
2758.0149049219917,8.896357432870472e+16,2277499224841.4233,259358953791.8601,1.9200861331688856e+16,2277444597870.715,257179096985.43668
3034.816395414191,9.408628039496459e+16,5338600539624.135,792086854445.7568,1.9490227063298376e+16,5338472140850.424,785318149754.1201
3339.2980349556105,9.95462510628683e+16,11272819747400.355,2082901650951.2646,1.9776300827552652e+16,11272547974831.238,2064836382996.2173
3674.227838451172,1.0536633864935506e+17,21998504304852.34,4935164752715.712,2.0059088312015764e+16,21997972772443.56,4891739311526.582
4042.6506222962894,1.115699041722637e+17,40284306565339.03,10789453408701.977,2.0338599786951384e+16,40283331142490.33,10693123317314.605
4447.915684525919,1.1818042974869003e+17,69931911944001.14,22085711452544.254,2.0614848048816532e+16,69930215152504.06,21885560190190.547
4893.707252978511,1.2522104642956075e+17,115928544520806.4,42752871060671.64,2.088784611345924e+16,115925725961726.05,42359391347964.61
5384.077978276362,1.3271399073071179e+17,184545947138942.78,78837122040359.36,2.1157604585607068e+16,184541451193046.72,78099798022257.9
5923.485776103998,1.4068001054561715e+17,283366427453580.8,139268952071820.56,2.142412858840073e+16,283359509983349.2,137944516761808.02
6516.834353714399,1.4913774724585213e+17,421224279239168.3,236755729334604.47,2.1687414086447556e+16,421213975324271.6,234464812871491.25
7169.5177890858395,1.5810312504269702e+17,608061282255546.5,388772789408936.06,2.1947443397706184e+16,608046377049457.9,384942644637178.75
7887.469567994424,1.6758878089527827e+17,854706323685954.9,618613812376796.2,2.220417969531824e+16,854685328262545.0,612404930008127.9
8677.216524793868,1.7760356853262285e+17,1172599595626998.8,956452600940451.8,2.2457560387392724e+16,1172570729210954.8,946667318421975.9
9545.938177273256,1.8815216884332973e+17,1573489740705367.5,1440364425118710.0,2.270748945844282e+16,1573450920005822.8,1425336085461643.2
10501.531995000581,1.992348363473551e+17,2069136791772328.0,2117256262334772.2,2.295382916153779e+16,2069085627345853.5,2094718065438232.5
11552.68519450064,2.108473079296304e+17,2671054515026778.0,3043661126178603.0,2.319639182610632e+16,2670988313772227.0,3010594486646010.0
12708.953713950705,2.2298089545921274e+17,3390323073516203.0,4286361354059657.5,2.3434932913204596e+16,3390238845633466.0,4238824262820256.5
13980.849085345777,2.356227780412807e+17,4237497281299360.0,5922818245143453.0,2.3669146703830244e+16,4237391749399728.5,5855754730701176.0
15379.933993880357,2.487565019729496e+17,5222627642624769.0,8041400064774164.0,2.389866604694216e+16,5222497250223781.0,7948432249087375.0
16918.927393268394,2.6236268652389155e+17,6355401365278734.0,1.0741416706674786e+16,2.412306735949356e+16,6355242281683012.0,1.0614621029513456e+16
18611.820132595236,2.7641992121242803e+17,7645399214946931.0,1.4132986842887794e+16,2.4341881558969636e+16,7645207333601057.0,1.3962655676831688e+16
20474.00214585476,2.909058255625437e+17,9102452371248870.0,1.833678148491519e+16,2.4554610884510064e+16,9102223298950642.0,1.8111170502559096e+16
22522.40236044024,3.057982263561928e+17,1.0737072714631082e+16,2.34837051499743e+16,2.476075074389778e+16,1.0736801749634194e+16,2.3188765408877244e+16
24775.642596484264,3.210763918413726e+17,1.256092186483293e+16,2.9714590130079424e+16,2.4959814954218492e+16,1.2560603962675682e+16,2.933368194823433e+16
27254.206856132692,3.367222495693674e+17,1.4587280359014016e+16,3.7179988051023864e+16,2.5151362160403416e+16,1.4586910085841246e+16,3.6693571461440424e+16
29980.627541745966,3.527215071875287e+17,1.6831479555886228e+16,4.604014340690377e+16,2.5335020920445856e+16,1.6831051029945866e+16,4.5425437463084744e+16
32979.69029592056,3.6906459607759706e+17,1.9311265131785516e+16,5.646522426969205e+16,2.551051099019424e+16,1.9310771954554436e+16,5.569582491038877e+16
36278.65932551262,3.857473678300074e+17,2.204707121955237e+16,6.863586549946308e+16,2.567765872048541e+16,2.204650639848044e+16,6.768130925050062e+16
39907.525258063884,4.0277149335122925e+17,2.5062196266544964e+16,8.27440508064225e+16,2.5836405140278136e+16,2.506155213165179e+16,8.156930943864445e+16
43899.277783870275,4.201445422406591e+17,2.8382883123629748e+16,9.899432480522706e+16,2.5986806145843372e+16,2.8382151240155292e+16,9.75592142542286e+16
48290.20556225731,4.378797524387227e+17,3.2038314548771176e+16,1.1760528869337144e+17,2.612902512500774e+16,3.2037485627833964e+16,1.1586377407557893e+17
53120.22611848305,4.55995532192093e+17,3.60605398066416e+16,1.388112976249876e+17,2.626331918335638e+16,3.605960361549525e+16,1.3671067498168322e+17
58433.24873033136,4.745147628555135e+17,4.048434796236936e+16,1.6286424794919245e+17,2.6390020782237624e+16,4.0483293235485096e+16,1.6034418229027203e+17
64277.57360336451,4.9346398747467834e+17,4.5347099335727064e+16,1.9003532067976262e+17,2.65095169541447e+16,4.534591368766737e+16,1.870267188370484e+17
70706.33096370097,5.1287257386056525e+17,5.068851958493818e+16,2.2061653457858624e+17,2.6622228288144316e+16,5.0687189425901496e+16,2.1704023018383552e+17
77777.96406007107,5.3277193191395206e+17,5.655045248448307e+16,2.5492195700303312e+17,2.6728589596108532e+16,5.654896293952825e+16,2.506871834961719e+17
85556.76046607818,5.531948458014009e+17,6.297655904960981e+16,2.9328842071800224e+17,2.682903365648065e+16,6.2974893882926024e+16,2.882910466601617e+17
94113.436512686,5.741749566300408e+17,7.001194337843417e+16,3.3607559711402285e+17,2.6923978801749964e+16,7.0010084924577096e+16,3.301960963138774e+17
103525.78016395462,5.957464056454226e+17,7.770268023492843e+16,3.836652780085906e+17,2.7013820494382936e+16,7.770060933966005e+16,3.76766405253211e+17
113879.3581803501,6.179436262346477e+17,8.609521649625813e+16,4.36459718165696e+17,2.7098926529192016e+16,8.60929124704553e+16,4.2838385995280557e+17
125268.29399838512,6.4080125811555e+17,9.523561846295043e+16,4.948788897514328e+17,2.7179635171577584e+16,9.523305905390578e+16,4.854450586961942e+17
137796.12339822366,6.643541499717832e+17,1.0516863994202824e+17,5.593565015109806e+17,2.7256255404376268e+16,1.0516580132730184e+17,5.4835694344534886e+17
151576.73573804603,6.886374165722135e+17,1.1593659225466643e+17,6.303346450450353e+17,2.7329068482256084e+16,1.1593344906436378e+17,6.17531029664519e+17
166735.40931185064,7.136865210553759e+17,1.2757800725150363e+17,7.082569551281697e+17,2.739833012740584e+16,1.2757453262535222e+17,6.933761247919378e+17
183409.95024303574,7.395373601895186e+17,1.4012609841428157e+17,7.93560217755339e+17,2.746427288412045e+16,1.4012226410005941e+17,7.76289475103948e+17
201751.94526733932,7.662263380031749e+17,1.5360704333322058e+17,8.866644339245556e+17,2.752710833372791e+16,1.5360281983282256e+17,8.666463576869033e+17
221928.13979407327,7.937904199068809e+17,1.680381336848607e+17,9.879614578572923e+17,2.758702902455983e+16,1.6803349045341872e+17,9.647882477325165e+17
244121.9537734806,8.222671646840067e+17,1.8342586361253162e+17,1.0978024565595238e+18,2.764421008205932e+16,1.83420769314479e+17,1.0710098226565722e+18
268535.1491508287,8.516947355630624e+17,1.997640554962044e+17,1.216484612021567e+18,2.7698810533342092e+16,1.9975847831983872e+17,1.1855452415524913e+18
295389.6640659116,8.821118942164893e+17,2.17032147061992e+17,1.3442376517828887e+18,2.7750974416738356e+16,2.1702605509098688e+17,1.3085543054518477e+18
324929.6304725028,9.135579833226212e+17,2.351937837349756e+17,1.4812109613364237e+18,2.7800831760015412e+16,2.3518714537149405e+17,1.440109273220244e+18
357423.5935197531,9.460729045045258e+17,2.5419586957241773e+17,1.627462160141151e+18,2.784849950930224e+16,2.541886540022149e+17,1.5801832368162988e+18
393166.95287172846,9.796970991138392e+17,2.739682244252546e+17,1.7829480877486618e+18,2.7894082479604852e+16,2.739604021107808e+17,1.7286410235649119e+18
432484.6481589014,1.0144715394341262e+18,2.9442397067576224e+17,1.947519120634549e+18,2.7937674380429544e+16,2.944155138592314e+17,1.8852335646824768e+18
475734.11297479155,1.0504377373591154e+18,3.154607288438731e+17,2.1209176059927053e+18,2.7979358948311948e+16,3.154516120391607e+17,2.0495965306056535e+18
523308.52427227073,1.0876377764038765e+18,3.369626397452333e+17,2.3027809531806848e+18,2.8019211193832e+16,3.369528401957143e+17,2.2212537818884145e+18
