t(s),Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Flux surface 1: solute,Average T volume 1
0.030607084370898943,1.1311753745946835e+19,1.2712984635505237e+17,1.1678519775490834e+18,7.408323587898108e+18,1.896176071124168e+20,673.0000000000006
0.031627759070877476,1.1502172688898277e+19,1.2915635274183352e+17,1.1888624425385562e+18,7.534125416228704e+18,1.8655731171641885e+20,673.0000000000006
0.032478321320859586,1.1658775968364648e+19,1.3105189632198675e+17,1.206849864979513e+18,7.631953205901289e+18,1.841130316151529e+20,673.0000000000006
0.03318712319584468,1.178787794061146e+19,1.325674578703269e+17,1.2180620900352366e+18,7.717231093126171e+18,1.821369244858573e+20,673.0000000000006
0.03403768544582679,1.1940853264616415e+19,1.341953073361145e+17,1.23233107864418e+18,7.820909033453112e+18,1.7984794684327245e+20,673.0000000000006
0.034746487320811884,1.2067022388328655e+19,1.3563750986397928e+17,1.2485340301731377e+18,7.899841899624162e+18,1.7799944209546104e+20,673.0000000000006
0.03533715554996612,1.2171276180117533e+19,1.3696044431944206e+17,1.2613193048535316e+18,7.962843773047831e+18,1.7649760714342872e+20,673.0000000000006
0.03604595742495122,1.2295135370431285e+19,1.3844685318811202e+17,1.2718816855804687e+18,8.044156050137482e+18,1.7474071110347706e+20,673.0000000000006
0.03689651967493333,1.2442025162468188e+19,1.400146286413702e+17,1.283913417265355e+18,8.145278336765361e+18,1.7269366088403337e+20,673.0000000000006
0.03791719437491186,1.2615889190352544e+19,1.419248005624341e+17,1.3043685093550533e+18,8.257584014853879e+18,1.7033877839150357e+20,673.0000000000006
0.03876775662489397,1.2759165367059362e+19,1.4367401373035949e+17,1.320265549026288e+18,8.347323789019772e+18,1.6844543228227305e+20,673.0000000000006
0.039476558499879064,1.287747401314695e+19,1.4505167906051594e+17,1.3302151150725197e+18,8.42603821369313e+18,1.6691030191794913e+20,673.0000000000006
0.040327120749861174,1.3017926554381412e+19,1.4654791478295424e+17,1.3430059275723622e+18,8.521503615847668e+18,1.6512589781437084e+20,673.0000000000006
0.04103592262484627,1.3133945306588432e+19,1.4785753568675622e+17,1.3577887529363507e+18,8.594559076492275e+18,1.6367983751392526e+20,673.0000000000006
0.04162659085400051,1.3229932243791118e+19,1.4906461847816723e+17,1.3703657460681006e+18,8.651995243022953e+18,1.6250267220111065e+20,673.0000000000006
0.0423353927289856,1.334413979728231e+19,1.5046706425066288e+17,1.3809459983715075e+18,8.72544482041283e+18,1.611246865123923e+20,673.0000000000006
0.04318595497896771,1.3479818523411247e+19,1.5195393428527277e+17,1.3912350650049684e+18,8.818839716082783e+18,1.5951366543250126e+20,673.0000000000006
0.044206629678946244,1.364072667232565e+19,1.536642856232143e+17,1.4083282162092065e+18,8.925851040330776e+18,1.576460543856406e+20,673.0000000000006
0.045057191928928354,1.3773533521296138e+19,1.552574758553375e+17,1.4251464793570222e+18,9.007557519770405e+18,1.5613740162425058e+20,673.0000000000006
0.04576599380391345,1.38833367810377e+19,1.5660309307291872e+17,1.435923398792803e+18,9.077628997077088e+18,1.549112939572002e+20,673.0000000000006
0.04661655605389556,1.401388271625551e+19,1.580505415303694e+17,1.446126822347519e+18,9.16682508917157e+18,1.534793976697024e+20,673.0000000000006
0.04763723075387409,1.4168841340086434e+19,1.5970013556323478e+17,1.4622755401827868e+18,9.270138715024935e+18,1.5181734650471137e+20,673.0000000000006
0.0484877930038562,1.42968289178047e+19,1.612247916542728e+17,1.4788974601119498e+18,9.348696962149865e+18,1.50471707993326e+20,673.0000000000006
