parameters: E1[eV]/n1[atfr],  E2[eV]/n2[atfr],    E3[eV]/n3[atfr](only in 10 nm)
0.834/1.364e-03,  0.959/3.629e-04,  1.496/9.743e-02
Relative error with exp(%): 2.91
Temperature[K],    Des_flux[D2.m-2.s-1],   Des_flux[D.m-2.s-1]
584.000, 3.2083e+18,  6.4166e+18
584.800, 3.2152e+18,  6.4304e+18
585.600, 3.2219e+18,  6.4438e+18
586.400, 3.2284e+18,  6.4568e+18
587.200, 3.2348e+18,  6.4696e+18
588.000, 3.2410e+18,  6.4820e+18
588.800, 3.2469e+18,  6.4937e+18
589.600, 3.2529e+18,  6.5059e+18
590.400, 3.2585e+18,  6.5170e+18
591.200, 3.2642e+18,  6.5285e+18
592.000, 3.2695e+18,  6.5390e+18
592.800, 3.2749e+18,  6.5499e+18
593.600, 3.2799e+18,  6.5598e+18
594.400, 3.2849e+18,  6.5699e+18
595.200, 3.2896e+18,  6.5792e+18
596.000, 3.2942e+18,  6.5885e+18
596.800, 3.2986e+18,  6.5972e+18
597.600, 3.3027e+18,  6.6054e+18
598.400, 3.3064e+18,  6.6129e+18
599.200, 3.3100e+18,  6.6200e+18
600.000, 3.3133e+18,  6.6266e+18
600.800, 3.3164e+18,  6.6328e+18
601.600, 3.3191e+18,  6.6382e+18
602.400, 3.3215e+18,  6.6431e+18
603.200, 3.3235e+18,  6.6470e+18
604.000, 3.3247e+18,  6.6493e+18
604.800, 3.3256e+18,  6.6511e+18
605.600, 3.3263e+18,  6.6527e+18
606.400, 3.3268e+18,  6.6536e+18
607.200, 3.3268e+18,  6.6537e+18
608.000, 3.3262e+18,  6.6524e+18
608.800, 3.3252e+18,  6.6505e+18
609.600, 3.3237e+18,  6.6473e+18
610.400, 3.3215e+18,  6.6431e+18
611.200, 3.3188e+18,  6.6377e+18
612.000, 3.3154e+18,  6.6307e+18
612.800, 3.3115e+18,  6.6230e+18
613.600, 3.3067e+18,  6.6135e+18
614.400, 3.3014e+18,  6.6029e+18
615.200, 3.2955e+18,  6.5910e+18
616.000, 3.2888e+18,  6.5777e+18
616.800, 3.2816e+18,  6.5632e+18
617.600, 3.2735e+18,  6.5469e+18
618.400, 3.2646e+18,  6.5292e+18
619.200, 3.2549e+18,  6.5099e+18
620.000, 3.2445e+18,  6.4890e+18
620.800, 3.2332e+18,  6.4664e+18
621.600, 3.2212e+18,  6.4423e+18
622.400, 3.2079e+18,  6.4157e+18
623.200, 3.1942e+18,  6.3885e+18
624.000, 3.1790e+18,  6.3580e+18
624.800, 3.1631e+18,  6.3262e+18
625.600, 3.1467e+18,  6.2935e+18
626.400, 3.1287e+18,  6.2575e+18
627.200, 3.1104e+18,  6.2209e+18
628.000, 3.0912e+18,  6.1824e+18
628.800, 3.0710e+18,  6.1419e+18
629.600, 3.0499e+18,  6.0998e+18
630.400, 3.0277e+18,  6.0554e+18
631.200, 3.0044e+18,  6.0088e+18
632.000, 2.9803e+18,  5.9605e+18
632.800, 2.9546e+18,  5.9091e+18
633.600, 2.9283e+18,  5.8565e+18
634.400, 2.9004e+18,  5.8007e+18
635.200, 2.8720e+18,  5.7439e+18
636.000, 2.8420e+18,  5.6840e+18
636.800, 2.8116e+18,  5.6232e+18
637.600, 2.7804e+18,  5.5608e+18
638.400, 2.7480e+18,  5.4959e+18
639.200, 2.7142e+18,  5.4285e+18
640.000, 2.6796e+18,  5.3592e+18
640.800, 2.6438e+18,  5.2876e+18
641.600, 2.6074e+18,  5.2148e+18
642.400, 2.5699e+18,  5.1399e+18
643.200, 2.5315e+18,  5.0630e+18
644.000, 2.4921e+18,  4.9842e+18
644.800, 2.4517e+18,  4.9034e+18
645.600, 2.4104e+18,  4.8209e+18
646.400, 2.3680e+18,  4.7361e+18
647.200, 2.3249e+18,  4.6499e+18
648.000, 2.2811e+18,  4.5623e+18
648.800, 2.2367e+18,  4.4734e+18
649.600, 2.1916e+18,  4.3831e+18
650.400, 2.1456e+18,  4.2912e+18
651.200, 2.0993e+18,  4.1986e+18
652.000, 2.0522e+18,  4.1045e+18
652.800, 2.0042e+18,  4.0084e+18
653.600, 1.9559e+18,  3.9119e+18
654.400, 1.9072e+18,  3.8144e+18
655.200, 1.8584e+18,  3.7167e+18
656.000, 1.8090e+18,  3.6179e+18
656.800, 1.7594e+18,  3.5188e+18
657.600, 1.7095e+18,  3.4190e+18
658.400, 1.6596e+18,  3.3193e+18
659.200, 1.6094e+18,  3.2189e+18
660.000, 1.5597e+18,  3.1194e+18
660.800, 1.5095e+18,  3.0190e+18
661.600, 1.4600e+18,  2.9200e+18
662.400, 1.4108e+18,  2.8217e+18
663.200, 1.3615e+18,  2.7231e+18
664.000, 1.3131e+18,  2.6263e+18
664.800, 1.2645e+18,  2.5290e+18
665.600, 1.2168e+18,  2.4337e+18
666.400, 1.1703e+18,  2.3405e+18
667.200, 1.1240e+18,  2.2480e+18
668.000, 1.0790e+18,  2.1579e+18
668.800, 1.0346e+18,  2.0692e+18
669.600, 9.9132e+17,  1.9826e+18
670.400, 9.4924e+17,  1.8985e+18
671.200, 9.0816e+17,  1.8163e+18
672.000, 8.6818e+17,  1.7364e+18
672.800, 8.2970e+17,  1.6594e+18
673.600, 7.9257e+17,  1.5851e+18
674.400, 7.5666e+17,  1.5133e+18
675.200, 7.2200e+17,  1.4440e+18
676.000, 6.8898e+17,  1.3780e+18
676.800, 6.5723e+17,  1.3145e+18
677.600, 6.2702e+17,  1.2540e+18
678.400, 5.9822e+17,  1.1964e+18
679.200, 5.7083e+17,  1.1417e+18
680.000, 5.4487e+17,  1.0897e+18
680.800, 5.2021e+17,  1.0404e+18
681.600, 4.9709e+17,  9.9418e+17
682.400, 4.7528e+17,  9.5056e+17
683.200, 4.5471e+17,  9.0943e+17
684.000, 4.3552e+17,  8.7104e+17
684.800, 4.1765e+17,  8.3530e+17
685.600, 4.0076e+17,  8.0152e+17
686.400, 3.8508e+17,  7.7015e+17
687.200, 3.7054e+17,  7.4108e+17
688.000, 3.5690e+17,  7.1380e+17
688.800, 3.4434e+17,  6.8868e+17
689.600, 3.3251e+17,  6.6502e+17
690.400, 3.2160e+17,  6.4321e+17
691.200, 3.1150e+17,  6.2300e+17
692.000, 3.0197e+17,  6.0395e+17
692.800, 2.9318e+17,  5.8636e+17
693.600, 2.8492e+17,  5.6984e+17
694.400, 2.7730e+17,  5.5461e+17
695.200, 2.7009e+17,  5.4019e+17
696.000, 2.6335e+17,  5.2670e+17
696.800, 2.5702e+17,  5.1403e+17
697.600, 2.5109e+17,  5.0218e+17
698.400, 2.4550e+17,  4.9099e+17
699.200, 2.4024e+17,  4.8047e+17
700.000, 2.3522e+17,  4.7043e+17
700.800, 2.3048e+17,  4.6096e+17
701.600, 2.2596e+17,  4.5191e+17
702.400, 2.2162e+17,  4.4324e+17
703.200, 2.1751e+17,  4.3502e+17
704.000, 2.1355e+17,  4.2709e+17
704.800, 2.0972e+17,  4.1944e+17
705.600, 2.0606e+17,  4.1212e+17
706.400, 2.0251e+17,  4.0503e+17
707.200, 1.9915e+17,  3.9829e+17
708.000, 1.9583e+17,  3.9167e+17
708.800, 1.9262e+17,  3.8525e+17
709.600, 1.8956e+17,  3.7912e+17
710.400, 1.8656e+17,  3.7313e+17
711.200, 1.8366e+17,  3.6732e+17
712.000, 1.8088e+17,  3.6176e+17
712.800, 1.7813e+17,  3.5626e+17
713.600, 1.7545e+17,  3.5089e+17
714.400, 1.7282e+17,  3.4564e+17
715.200, 1.7028e+17,  3.4057e+17
716.000, 1.6779e+17,  3.3559e+17
716.800, 1.6540e+17,  3.3080e+17
717.600, 1.6304e+17,  3.2608e+17
718.400, 1.6075e+17,  3.2150e+17
719.200, 1.5851e+17,  3.1701e+17
720.000, 1.5629e+17,  3.1258e+17
720.800, 1.5414e+17,  3.0828e+17
721.600, 1.5202e+17,  3.0403e+17
722.400, 1.4995e+17,  2.9990e+17
723.200, 1.4789e+17,  2.9579e+17
724.000, 1.4589e+17,  2.9178e+17
724.800, 1.4396e+17,  2.8793e+17
725.600, 1.4209e+17,  2.8418e+17
726.400, 1.4022e+17,  2.8044e+17
727.200, 1.3840e+17,  2.7680e+17
728.000, 1.3660e+17,  2.7320e+17
728.800, 1.3484e+17,  2.6969e+17
729.600, 1.3311e+17,  2.6622e+17
730.400, 1.3142e+17,  2.6284e+17
